timestamp,open,high,low,close,volume
2021-03-05,260.6700,265.4500,255.6100,264.2800,26820055
2021-03-04,256.4700,266.4900,253.5000,257.6400,31626463
2021-03-03,260.2900,260.9899,255.1000,255.4100,15513515
2021-03-02,265.7800,266.7100,258.6500,259.0000,15191722
2021-03-01,260.8200,266.6500,257.9039,264.9100,22157255
2021-02-26,256.4700,265.5500,256.4700,257.6200,26313472
2021-02-25,262.3000,266.9400,254.0400,254.6900,18430701
2021-02-24,262.3250,266.3800,258.3900,264.3100,15736123
2021-02-23,259.5000,267.4600,254.9600,265.8550,21924557
2021-02-22,257.9500,263.0700,257.5300,260.3300,17298474
2021-02-19,269.8600,270.2700,260.1500,261.5600,25622587
2021-02-18,269.5650,271.9500,266.0300,269.3900,15249134
2021-02-17,271.2400,273.9700,269.5800,273.5700,12619051
2021-02-16,270.8000,276.6000,270.0500,273.9700,15417243
2021-02-12,270.5200,271.1800,268.3400,270.5000,9097597
2021-02-11,271.8900,273.5800,268.4900,270.3900,12828572
2021-02-10,272.4465,273.7999,267.7200,271.8700,14188230
2021-02-09,266.4400,273.3900,265.7500,269.4500,14420322
2021-02-08,268.7500,269.8600,265.0000,266.5800,13755191
2021-02-05,266.8000,269.1700,265.6700,268.1000,12454367
2021-02-04,267.0100,268.1600,264.0000,266.4900,16059958
2021-02-03,265.6200,269.2000,263.8400,266.6500,14223377
2021-02-02,264.0000,268.8500,263.2700,267.0800,16964380
2021-02-01,259.5200,264.1700,254.9100,262.0100,22914255
2021-01-29,265.3000,266.5600,254.8500,258.3300,30389499
2021-01-28,277.1800,286.7900,264.7000,265.0000,37758844
2021-01-27,282.5300,283.4500,268.1201,272.1400,35346194
2021-01-26,278.1398,285.3900,277.8100,282.0500,19373636
2021-01-25,278.1400,280.1000,271.5100,278.0100,19086990
2021-01-22,272.0100,278.4700,272.0000,274.5000,21954042
2021-01-21,269.2600,273.6000,267.4901,272.8700,20838687
2021-01-20,268.9300,270.3200,263.6000,267.4800,25199919
2021-01-19,256.9000,262.2000,252.7201,261.1000,28028546
2021-01-15,247.9000,253.8600,247.1600,251.3600,24942930
2021-01-14,253.4000,255.0300,244.6100,245.6400,29739404
2021-01-13,251.5500,253.9500,249.2000,251.6400,19528938
2021-01-12,256.6300,259.7200,250.3000,251.0900,25772128
2021-01-11,260.4800,263.4700,255.9000,256.8400,30412286
2021-01-08,268.3100,268.9500,263.1800,267.5700,18528251
2021-01-07,265.9000,271.6100,264.7800,268.7400,15789756
2021-01-06,262.0000,267.7500,260.0100,263.3100,24354149
2021-01-05,268.2900,272.4000,268.2111,270.9700,9871557
2021-01-04,274.7800,275.0000,265.2000,268.9400,15106113
2020-12-31,272.0000,277.0900,269.8100,273.1600,12900408
2020-12-30,277.9500,278.0800,271.7100,271.8700,11803795
2020-12-29,276.9500,280.5100,276.2800,276.7800,16382995
2020-12-28,268.7400,277.3000,265.6600,277.0000,23123385
2020-12-24,268.8750,270.4000,266.2000,267.4000,6702033
2020-12-23,266.8900,272.1699,266.2300,268.1100,14329038
2020-12-22,271.5000,271.5000,264.6300,267.0900,17334999
2020-12-21,272.9780,274.6700,267.7900,272.7900,16553740
2020-12-18,275.7750,278.0000,271.1400,276.4000,26693249
2020-12-17,277.0700,280.4400,273.6100,274.4800,16377844
